id,news_source,label,title,text,url,image_url,published_at
gossipcop-real-014,gossipcop,real,Streaming platform renews a popular series for a new season,"The platform confirmed the renewal of a successful show, with production expected to start later this year.",https://example-news.org/gossipcop/series-renewed,https://picsum.photos/seed/series-renewed/800/600.jpg,2026-05-15T09:00:00Z
gossipcop-fake-015,gossipcop,fake,Report says a film was shot entirely on a single phone in one day,A sensational claim states that a feature film was recorded on one smartphone within twenty-four hours. The studio denies the account.,https://example-news.org/gossipcop/phone-film,https://picsum.photos/seed/phone-film/800/600.jpg,2026-05-16T09:00:00Z
gossipcop-real-016,gossipcop,real,Director shares the official release date of the next blockbuster,"During a press event, the director revealed the confirmed theatrical release date for the upcoming blockbuster.",https://example-news.org/gossipcop/release-date,https://picsum.photos/seed/release-date/800/600.jpg,2026-05-17T09:00:00Z
politifact-fake-017,politifact,fake,Message claims tap water will be replaced by sparkling water citywide,A chain message asserts that the city will switch its entire tap supply to sparkling water. The utility company calls it false.,https://example-news.org/politifact/sparkling-water,https://picsum.photos/seed/sparkling-water/800/600.jpg,2026-05-18T09:00:00Z
politifact-real-018,politifact,real,Education department updates the national exam calendar,"The department published the revised schedule for national examinations, available on its official website.",https://example-news.org/politifact/exam-calendar,https://picsum.photos/seed/exam-calendar/800/600.jpg,2026-05-19T09:00:00Z
gossipcop-fake-019,gossipcop,fake,Star supposedly trademarks a common everyday word,A misleading post claims a celebrity legally trademarked an ordinary word everyone uses. No trademark filing supports this.,https://example-news.org/gossipcop/trademark-word,https://picsum.photos/seed/trademark-word/800/600.jpg,2026-05-20T09:00:00Z
gossipcop-real-020,gossipcop,real,Theatre company announces a national tour for its new play,The company confirmed the cities and venues for the upcoming tour of its latest stage production.,https://example-news.org/gossipcop/theatre-tour,https://picsum.photos/seed/theatre-tour/800/600.jpg,2026-05-21T09:00:00Z
politifact-fake-021,politifact,fake,Viral claim says public transport will run backwards on weekends,A joke-turned-rumor states that trains will operate in reverse on weekends. The operator confirms schedules are unchanged.,https://example-news.org/politifact/reverse-transport,https://picsum.photos/seed/reverse-transport/800/600.jpg,2026-05-22T09:00:00Z
politifact-real-022,politifact,real,Health ministry opens a new vaccination campaign for the season,"The ministry launched its seasonal vaccination campaign, detailing eligible groups and available locations.",https://example-news.org/politifact/vaccination-campaign,https://picsum.photos/seed/vaccination-campaign/800/600.jpg,2026-05-23T09:00:00Z
gossipcop-fake-023,gossipcop,fake,Singer reportedly cancels a world tour to open a bakery,An unverified article claims a pop singer scrapped a global tour to run a bakery full time. The management team has not confirmed it.,https://example-news.org/gossipcop/bakery-tour,https://picsum.photos/seed/bakery-tour/800/600.jpg,2026-05-24T09:00:00Z
gossipcop-real-024,gossipcop,real,Studio releases the official trailer for its animated feature,The studio published the first official trailer of its forthcoming animated film on its verified channels.,https://example-news.org/gossipcop/animated-trailer,https://picsum.photos/seed/animated-trailer/800/600.jpg,2026-05-25T09:00:00Z
